customerID,evadiu,genero,idoso,tem_parceiro,tem_dependentes,tempo_meses,servico_telefone,multiplas_linhas,tipo_internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,tipo_contrato,fatura_online,forma_pagamento,conta_mensal,conta_total,conta_diaria,tem_internet,qtd_servicos
0002-ORFBO,0,feminino,0,1,1,9,1,0,dsl,0,1,0,1,1,0,anual,1,boleto,65.6,593.3,2.19,1,5
0003-MKNFE,0,masculino,0,0,0,9,1,1,dsl,0,0,0,0,0,1,mensal,0,boleto,59.9,542.4,2.0,1,4
0004-TLHLJ,1,masculino,0,0,0,4,1,0,fibra óptica,0,0,1,0,0,0,mensal,1,débito online,73.9,280.85,2.46,1,3
0011-IGKFF,1,masculino,1,1,0,13,1,0,fibra óptica,0,1,1,0,1,1,mensal,1,débito online,98.0,1237.85,3.27,1,6
0013-EXCHZ,1,feminino,1,1,0,3,1,0,fibra óptica,0,0,0,1,1,0,mensal,1,boleto,83.9,267.4,2.8,1,4
0013-MHZWF,0,feminino,0,0,1,9,1,0,dsl,0,0,0,1,1,1,mensal,1,cartão (automático),69.4,571.45,2.31,1,5
0013-SMEOE,0,feminino,1,1,0,71,1,0,fibra óptica,1,1,1,1,1,1,bienal,1,transferência (automática),109.7,7904.25,3.66,1,8
0014-BMAQU,0,masculino,0,1,0,63,1,1,fibra óptica,1,0,0,1,0,0,bienal,1,cartão (automático),84.65,5377.8,2.82,1,5
0015-UOCOJ,0,feminino,1,0,0,7,1,0,dsl,1,0,0,0,0,0,mensal,1,débito online,48.2,340.35,1.61,1,3
0016-QLJIS,0,feminino,0,1,1,65,1,1,dsl,1,1,1,1,1,1,bienal,1,boleto,90.45,5957.9,3.02,1,9
0017-DINOC,0,masculino,0,0,0,54,0,0,dsl,1,0,0,1,1,0,bienal,0,cartão (automático),45.2,2460.55,1.51,1,4
0017-IUDMW,0,feminino,0,1,1,72,1,1,fibra óptica,1,1,1,1,1,1,bienal,1,cartão (automático),116.8,8456.75,3.89,1,9
